currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision,provision_Contra Frente ,provision_Contrafrente ,provision_Frente ,provision_Interno ,provision_Lateral ,condition_ ,condition_A Refaccionar ,condition_Bueno ,condition_Excelente ,condition_Muy Bueno ,condition_Regular 
USD,360.000,$,52.0,Av Cabildo 100,145,3,10000,2,4,1,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,85.000,$,14.0,Republica de la India  2800,35,1,10000,1,2,0,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,600.000,$,50.0,JUAN MARIA GUTIERREZ 3900,140,2,10000,2,3,1,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,215.000,$,34.0,Lavalle 4000,65,2,10000,1,3,1,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,123.000,$,8.9,GÜEMES 3900,55,2,10000,1,3,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,220.000,$,32.0,Bonpland 2400,150,3,10000,2,4,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,330.000,$,37.0,Charcas 4000,75,2,10000,2,3,1,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,115.000,$,39.0,Armenia 2400,45,Monoambiente,10000,1,1,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,95.000,$,7.5,Bonpland al 2400,33,1,10000,1,1,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,330.000,$,15.0,Scalabrini Ortiz 1500,106,3,10000,3,4,2,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,90.000,$,16.956,Vidt 1900,0,1,10000,1,2,0,Bueno ,Frente ,0,0,1,0,0,0,0,1,0,0,0
USD,210.000,$,14.0,JUAN MARIA GUTIERREZ  3800,95,2,10000,2,3,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,140.000,$,13.0,Guatemala 6000,50,1,10000,2,2,0,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,210.000,$,23.0,"Lafinur 3100, Piso 7",0,3,10000,1,4,0,Muy Bueno ,Contra Frente ,1,0,0,0,0,0,0,0,0,1,0
USD,79.000,$,17.0,ARAOZ 2800,37,1,10000,1,2,0,Muy Bueno ,Frente ,0,0,1,0,0,0,0,0,0,1,0
USD,328.000,$,30.0,AV. LAS HERAS 3900,"119,89",3,10000,2,4,0,Muy Bueno ,,0,0,0,0,0,0,0,0,0,1,0
USD,1.950.000,$,32.0,Castex 3500,407,4,26,4,5,2,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,147.999,$,32.0,BORGES 2100,48,1,10000,1,2,1, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,124.999,$,32.0,Borges al 2100,39,1,10000,1,2,1, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,99.000,$,16.2,CONVENCION entre HONDURAS y EL SALVADOR,36,Monoambiente,10000,1,1,1, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,230.000,$,33.0,"ARMENIA 2300, Piso 1",100,3,10000,3,4,0,Muy Bueno ,,0,0,0,0,0,0,0,0,0,1,0
USD,269.000,$,15.0,"CONCEPCION ARENAL 3400, Piso 8",80,2,10000,2,3,1,Excelente ,Contrafrente ,0,1,0,0,0,0,0,0,1,0,0
USD,99.900,$,32.0,Charcas al 5000,46,1,10000,1,2,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,349.900,$,32.0,Malabia 2200,137,3,10000,2,4,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,120.000,$,8.0,Güemes  4100 4100,58,2,40,1,3,0,Bueno ,Interno ,0,0,0,1,0,0,0,1,0,0,0
USD,179.500,$,32.0,Niceto Vega 5120,74,2,10000,2,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
